,d,beta_0,beta_1,beta_2,G,pce,path,P1,P2
0,6.375412200349123e-06,0.3760989532694893,0.3760989532694893,0.818598420255918,0.04166437247141089,15861.74243622541,False,0,1
1,6.375412200349123e-06,0.1816174579731598,0.1816174579731598,1.207561410848577,0.022180990379323577,14031.05688760605,False,1,2
2,1.2242785326613683e-05,0.1430821214218061,0.7138571026865452,0.7138571026865452,0.02702698052234793,7573.825551828989,False,2,3
3,1.3657491980429996e-05,0.1213995417384021,0.1213995417384021,1.3279972433180924,0.015022955468938674,6141.554063470842,False,3,4
4,8.53449247417312e-06,0.05184804131659715,0.7594741427391497,0.7594741427391497,0.011695180793797643,9470.660502692726,False,4,5
5,8.53449247417312e-06,0.10733271982411849,0.10733271982411849,1.3561308871466595,0.013311990526080598,9650.164380250862,False,5,6
6,1.0090424627612772e-05,0.08133863776304295,0.7447288445159268,0.7447288445159268,0.01731682507052712,8501.783613281048,False,6,7
7,1.0416133447590687e-05,0.1459928607870571,0.7124017330039197,0.7124017330039197,0.02742280690749243,8926.383581083066,False,7,8
8,1.0416133447590687e-05,0.00598844115699082,0.7824039428189529,0.7824039428189529,0.0014793041025924025,6344.9577487520355,False,8,9
9,4.350365241014374e-06,0.15083362910991505,0.15083362910991505,1.2691290685750665,0.018559627545915818,19944.99203741816,False,10,11
10,4.585124918820748e-06,0.13293323957899988,0.13293323957899988,1.3049298476368967,0.016416336852071344,18549.838892894582,False,11,12
11,4.585124918820748e-06,0.1684229054312545,0.701186710681821,0.701186710681821,0.030303176841025972,20669.405869331244,False,12,13
12,7.728540278748074e-06,0.37774484566459315,0.37774484566459315,0.8153066354657102,0.041790477988173105,13093.084065856,False,13,14
13,7.728540278748074e-06,0.3232287055093201,0.3232287055093201,0.9243389157762564,0.037173632381684016,12775.031143783364,False,14,15
14,6.562799493266297e-06,0.4896888434516976,0.4896888434516976,0.5914186398915013,0.04769735856337318,15868.989068204273,False,15,16
15,6.562799493266297e-06,0.16308634142513798,0.16308634142513798,1.2446236439446206,0.02001155983889386,13389.680655987786,False,16,17
16,4.094127700809692e-06,0.045186252485482914,0.7628050371547068,0.7628050371547068,0.010327148249145924,19405.352720211733,False,17,18
